id,decision_point_id,ticker,status,entry_date,entry_price,position_size,attractiveness_score,stop_loss_price,take_profit_target,trailing_stop_pct,max_hold_days,exit_triggers,high_water_mark,last_reviewed_at,current_price,unrealized_pnl_pct,exit_date,exit_price,realized_pnl_pct,exit_reason,entry_price_source,entry_spy_price,exit_spy_price
1,59,APA,CLOSED,2026-04-14,37.03,10000.0,5.4760211932913885,35.5,39.49,5.0,5,"[""Price encounters heavy resistance at the broken SMA20 ($40.32) or RSI crosses back above 65.""]",37.04,2026-04-18T18:18:50.470835,35.72,1.4772727272727157,2026-04-18,35.72,-3.537672157709971,DESK_DECISION,decision_date_close,694.46,
2,42,PANW,CLOSED,2026-04-14,155.73,10000.0,5.594519708688225,161.0,166.98,3.0,5,"[""Price reaches SMA50 ($161.07) and struggles to break through, or Daily RSI pushes above 65.""]",164.08,2026-04-15T20:11:30.906196,164.08,11.619047619047628,2026-04-18,167.83,7.769858087715933,TAKE_PROFIT,price_at_decision,694.46,
3,40,NICE,CLOSED,2026-04-14,97.0,10000.0,5.686497592011663,100.75,104.46,1.5,14,"[""Price reaches $104.46 (gap fill) and momentum stalls, or approaches SMA50 near $113 with RSI crossing above 70.""]",101.99,2026-04-15T20:17:23.060979,101.99,7.357894736842099,2026-04-18,105.25,8.505154639175258,TAKE_PROFIT,price_at_decision,694.46,
4,36,DOCN,CLOSED,2026-04-14,75.59,10000.0,7.104089268538047,70.0,75.5,4.0,14,"[""Initiate partial profit-taking at the $77.00 offering price resistance; liquidate the remainder on a full gap-fill to $86.98 or if daily RSI exceeds 65.""]",77.72,2026-04-15T20:23:07.225270,77.72,11.666666666666673,2026-04-15,77.72,2.8178330466992927,TAKE_PROFIT,decision_date_close,694.46,699.94
5,30,TEAM,CLOSED,2026-04-14,58.96,10000.0,5.895642395956762,58.5,64.0,3.0,7,"[""Price approaches the 20-day SMA ($69.58) or RSI crosses back above 50, as institutional overhead supply and Nasdaq-100 exclusion risks will likely cap the relief rally.""]",66.0,2026-04-15T20:23:07.311992,66.0,15.183246073298434,2026-04-15,66.0,11.940298507462686,TAKE_PROFIT,decision_date_close,694.46,699.94
6,27,RBRK,CLOSED,2026-04-14,46.18,10000.0,5.115228176820274,0.0,0.0,0.07,5,"[""Price approaches the SMA50 ($52.43) or RSI crosses above 65, as overhead supply will likely cap the relief rally.""]",48.01,2026-04-14T20:47:26.994324,48.01,7.284916201117314,2026-04-14,48.01,3.9627544391511442,TAKE_PROFIT,decision_date_close,694.46,694.46
7,26,OKTA,CLOSED,2026-04-14,67.76,10000.0,6.226581151620607,64.79,71.5,5.0,5,"[""Price approaches the 8-day EMA ($75.04) or Monthly Pivot ($77.12) on declining volume; overhead supply from trapped buyers will heavily resist further upside.""]",67.36,2026-04-15T20:23:07.404523,67.36,3.9666615218397796,2026-04-18,72.24,6.611570247933869,TAKE_PROFIT,decision_date_close,694.46,
8,25,NOW,CLOSED,2026-04-14,89.81,10000.0,7.369794256220849,91.0,96.5,4.0,14,"[""RSI recovery above 60 combined with price approaching the SMA50 resistance zone at $108.71.""]",94.2,2026-04-15T20:28:27.641151,94.2,7.045454545454549,2026-04-18,96.72,7.694020710388594,TAKE_PROFIT,decision_date_close,694.46,
9,23,IOT,CLOSED,2026-04-14,26.85,10000.0,6.1492517721186655,25.5,28.5,4.0,5,"[""Price reaches SMA50 ($29.54) or RSI crosses back above 50, as overhead supply from trapped buyers will likely stall momentum.""]",28.855,2026-04-15T20:33:43.173264,28.855,15.42,2026-04-15,28.855,7.467411545623833,TAKE_PROFIT,decision_date_close,694.46,699.94
10,21,HUBS,CLOSED,2026-04-14,205.04,10000.0,4.383196764699654,0.0,0.0,0.07,5,"[""Take profits as price fills the gap near $217-$240. Exit entirely if the stock fails to hold the $194.50 support level on a daily close.""]",206.41,2026-04-14T21:04:09.073449,206.41,2.92196459735726,2026-04-14,206.41,0.6681623097932133,TAKE_PROFIT,decision_date_close,694.46,694.46
11,20,GWRE,CLOSED,2026-04-14,124.3,10000.0,4.405758411968685,116.5,131.5,0.07,7,"[""Price reaches the $131.50-$135.50 resistance zone and hourly stochastic crosses down, or volume dries up on the bounce.""]",136.68,2026-04-15T20:33:43.255136,136.68,12.958677685950418,2026-04-15,136.68,9.959774738535808,TAKE_PROFIT,decision_date_close,694.46,699.94
12,10,OVV,CLOSED,2026-04-14,56.16,10000.0,5.5394305184359505,53.5,60.73,4.0,5,"[""Price approaches the $60-$62 resistance zone (pre-drop levels and Citi price target) and RSI crosses above 65.""]",55.05,2026-04-15T19:31:10.886662,55.05,5.86538461538461,2026-04-18,52.84,-5.9116809116809,STOP_LOSS,decision_date_close,694.46,
